ct, chi-square, chi-reduced, akaike, population, func_call
Acre, 1802071.43, 22247.7954, 931.204607, 881935.000, 2851
Afghanistan, 2065308.91, 21513.6345, 1077.87188, 38041757.0, 19647
Alagoas, 9485116.93, 103099.097, 1199.34207, 3337357.00, 8225
Albania, 753529.854, 8102.47155, 946.365834, 2880913.00, 6913
Algeria, 2946034.69, 29460.3469, 1152.69489, 43053054.0, 9774
Amapa, 2649064.37, 33113.3047, 957.376038, 845731.000, 11489
Amazonas, 18202095.4, 214142.298, 1188.65911, 4144597.00, 7960
Andorra, 55992.3400, 636.276590, 649.447182, 77146.0000, 3149
Argentina, 2.1175e+08, 2228912.08, 1559.79097, 44780675.0, 9926
Armenia, 5219183.99, 56730.2607, 1137.81163, 2957728.00, 16957
Australia, 12037559.3, 87865.3963, 1695.33684, 25203200.0, 6628
Austria, 2408902.85, 22941.9319, 1175.16664, 8858775.00, 10065
Azerbaijan, 19926257.0, 209750.074, 1309.27564, 10047719.0, 13311
Bahia, 85757636.9, 912315.287, 1451.37291, 14873064.0, 6907
Bahrain, 4428803.61, 41781.1661, 1255.35153, 1641164.00, 31241
Bangladesh, 45735323.4, 525693.372, 1301.23457, 1.6305e+08, 14642
Belarus, 3129672.95, 32943.9258, 1113.05800, 9452409.00, 12589
Belgium, 5.7560e+09, 45322560.8, 2443.38235, 11455519.0, 3486
Benin, 448576.399, 5277.36940, 833.150665, 11801151.0, 9440
Bolivia, 7582023.35, 85191.2736, 1145.61205, 11513102.0, 13706
Bosnia_and_Herzegovina, 503027.442, 5651.99373, 874.322982, 3300998.00, 4673
Brasil, 2.6318e+09, 25551234.5, 1954.83885, 2.1015e+08, 29283
Brazil, 2.6082e+09, 24839911.9, 1985.68656, 2.1105e+08, 27035
Bulgaria, 1303811.62, 14171.8655, 994.945577, 7000039.00, 6867
Burkina_Faso, 18747.0489, 210.640999, 545.362144, 20321383.0, 3796
Cameroon, 25793640.3, 289816.183, 1268.04683, 25876387.0, 7541
Canada, 1.2995e+08, 955540.105, 2034.76138, 37411038.0, 4245
